origin,destination,distance,duration
Green Bay,Milwaukee,188 km,1 hour 49 mins
Milwaukee,Philadelphia,"1,367 km",12 hours 54 mins
Milwaukee,Philadelphia,"1,367 km",12 hours 54 mins
Los Angeles,San Diego,193 km,1 hour 57 mins
Los Angeles,San Diego,193 km,1 hour 57 mins
San Diego,San Francisco,808 km,7 hours 51 mins
San Diego,San Francisco,808 km,7 hours 51 mins
Dallas,Brownsville,877 km,7 hours 55 mins
Dallas,Brownsville,877 km,7 hours 55 mins
Brownsville,Austin,565 km,5 hours 8 mins
Brownsville,Austin,565 km,5 hours 8 mins
Syracuse,State College,379 km,4 hours 5 mins
Syracuse,State College,379 km,4 hours 5 mins
State College,Johnstown,137 km,1 hour 29 mins
State College,Johnstown,137 km,1 hour 29 mins
Johnstown,Harrisburg,222 km,2 hours 25 mins
Johnstown,Harrisburg,222 km,2 hours 25 mins
Harrisburg,Syracuse,406 km,3 hours 56 mins
Harrisburg,Syracuse,406 km,3 hours 56 mins
San Diego,Los Angeles,194 km,2 hours 0 mins
San Diego,Los Angeles,194 km,2 hours 0 mins
Los Angeles,San Francisco,614 km,5 hours 56 mins
Los Angeles,San Francisco,614 km,5 hours 56 mins
Moline,Abilene,"1,618 km",14 hours 27 mins
Moline,Abilene,"1,618 km",14 hours 27 mins
Abilene,Amarillo,446 km,4 hours 10 mins
Abilene,Amarillo,446 km,4 hours 10 mins
Amarillo,Lubbock,197 km,1 hour 47 mins
Amarillo,Lubbock,197 km,1 hour 47 mins
Lubbock,Moline,"1,704 km",15 hours 14 mins
Lubbock,Moline,"1,704 km",15 hours 14 mins
Cedar Rapids,Augusta,"1,579 km",14 hours 35 mins
Cedar Rapids,Augusta,"1,579 km",14 hours 35 mins
Augusta,Decatur,229 km,2 hours 19 mins
Augusta,Decatur,229 km,2 hours 19 mins
Decatur,Atlanta,13.0 km,19 mins
Decatur,Atlanta,13.0 km,19 mins
Atlanta,Cedar Rapids,"1,349 km",12 hours 26 mins
Atlanta,Cedar Rapids,"1,349 km",12 hours 26 mins
Bakersfield,Abilene,"2,072 km",19 hours 6 mins
Bakersfield,Abilene,"2,072 km",19 hours 6 mins
Abilene,Amarillo,446 km,4 hours 10 mins
Abilene,Amarillo,446 km,4 hours 10 mins
Amarillo,Lubbock,197 km,1 hour 47 mins
Amarillo,Lubbock,197 km,1 hour 47 mins
Lubbock,Bakersfield,"1,805 km",16 hours 39 mins
Lubbock,Bakersfield,"1,805 km",16 hours 39 mins
Dallas,Richmond,"2,054 km",18 hours 37 mins
Dallas,Richmond,"2,054 km",18 hours 37 mins
Richmond,Staunton,175 km,1 hour 43 mins
Richmond,Staunton,175 km,1 hour 43 mins
Staunton,Petersburg,209 km,2 hours 0 mins
Staunton,Petersburg,209 km,2 hours 0 mins
Petersburg,Dallas,"2,079 km",18 hours 42 mins
Petersburg,Dallas,"2,079 km",18 hours 42 mins
Chicago,Rockford,143 km,1 hour 32 mins
Chicago,Rockford,143 km,1 hour 32 mins
Rockford,Moline,191 km,1 hour 57 mins
Rockford,Moline,191 km,1 hour 57 mins
Moline,Boise,"2,466 km",21 hours 53 mins
Moline,Boise,"2,466 km",21 hours 53 mins
Rochester,Orlando,"1,987 km",18 hours 18 mins
Rochester,Orlando,"1,987 km",18 hours 18 mins
Orlando,Gainesville,179 km,1 hour 43 mins
Orlando,Gainesville,179 km,1 hour 43 mins
Gainesville,Fort Myers,398 km,3 hours 43 mins
Gainesville,Fort Myers,398 km,3 hours 43 mins
Fort Myers,Rochester,"2,259 km",20 hours 54 mins
Fort Myers,Rochester,"2,259 km",20 hours 54 mins
Grand Rapids,Lansing,110 km,1 hour 1 min
Grand Rapids,Lansing,110 km,1 hour 1 min
Lansing,Detroit,145 km,1 hour 24 mins
Lansing,Detroit,145 km,1 hour 24 mins
Austin,Nashville,"1,382 km",12 hours 31 mins
Austin,Nashville,"1,382 km",12 hours 31 mins
Nashville,Chattanooga,214 km,2 hours 4 mins
Nashville,Chattanooga,214 km,2 hours 4 mins
Chattanooga,Knoxville,181 km,1 hour 42 mins
Chattanooga,Knoxville,181 km,1 hour 42 mins
Knoxville,Austin,"1,671 km",15 hours 7 mins
Knoxville,Austin,"1,671 km",15 hours 7 mins
Baltimore,Fort Myers,"1,715 km",15 hours 41 mins
Baltimore,Fort Myers,"1,715 km",15 hours 41 mins
Fort Myers,Gainesville,399 km,3 hours 43 mins
Fort Myers,Gainesville,399 km,3 hours 43 mins
Gainesville,Orlando,181 km,1 hour 46 mins
Gainesville,Orlando,181 km,1 hour 46 mins
Orlando,Baltimore,"1,426 km",12 hours 53 mins
Orlando,Baltimore,"1,426 km",12 hours 53 mins
Austin,Minneapolis,"1,882 km",16 hours 46 mins
Austin,Minneapolis,"1,882 km",16 hours 46 mins
Minneapolis,Bemidji,347 km,3 hours 37 mins
Minneapolis,Bemidji,347 km,3 hours 37 mins
Bemidji,Hibbing,166 km,1 hour 56 mins
Bemidji,Hibbing,166 km,1 hour 56 mins
Hibbing,Austin,"2,192 km",19 hours 47 mins
Hibbing,Austin,"2,192 km",19 hours 47 mins
San Luis Obispo,Amarillo,"1,972 km",18 hours 0 mins
San Luis Obispo,Amarillo,"1,972 km",18 hours 0 mins
Amarillo,Abilene,461 km,4 hours 12 mins
Amarillo,Abilene,461 km,4 hours 12 mins
Abilene,Lubbock,263 km,2 hours 31 mins
Abilene,Lubbock,263 km,2 hours 31 mins
Lubbock,San Luis Obispo,"2,024 km",18 hours 52 mins
Lubbock,San Luis Obispo,"2,024 km",18 hours 52 mins
San Diego,Portland,"1,741 km",16 hours 38 mins
San Diego,Portland,"1,741 km",16 hours 38 mins
Portland,Medford,439 km,4 hours 17 mins
Portland,Medford,439 km,4 hours 17 mins
Medford,Eugene,268 km,2 hours 40 mins
Medford,Eugene,268 km,2 hours 40 mins
Eugene,San Diego,"1,572 km",14 hours 58 mins
Eugene,San Diego,"1,572 km",14 hours 58 mins
Raleigh,Belleville,"1,302 km",12 hours 17 mins
Raleigh,Belleville,"1,302 km",12 hours 17 mins
Belleville,Rockford,471 km,4 hours 30 mins
Belleville,Rockford,471 km,4 hours 30 mins
Rockford,Chicago,143 km,1 hour 34 mins
Rockford,Chicago,143 km,1 hour 34 mins
Chicago,Raleigh,"1,298 km",12 hours 28 mins
Chicago,Raleigh,"1,298 km",12 hours 28 mins
Detroit,Minneapolis,"1,119 km",10 hours 14 mins
Detroit,Minneapolis,"1,119 km",10 hours 14 mins
Minneapolis,Duluth,248 km,2 hours 16 mins
Minneapolis,Duluth,248 km,2 hours 16 mins
Duluth,Gustavus,357 km,3 hours 19 mins
Duluth,Gustavus,357 km,3 hours 19 mins
Gustavus,Detroit,"1,163 km",10 hours 36 mins
Gustavus,Detroit,"1,163 km",10 hours 36 mins
Raleigh,Nashville,867 km,8 hours 8 mins
Raleigh,Nashville,867 km,8 hours 8 mins
Nashville,Knoxville,290 km,2 hours 42 mins
Nashville,Knoxville,290 km,2 hours 42 mins
Knoxville,Memphis,629 km,5 hours 44 mins
Knoxville,Memphis,629 km,5 hours 44 mins
Memphis,Raleigh,"1,206 km",11 hours 13 mins
Memphis,Raleigh,"1,206 km",11 hours 13 mins
Philadelphia,Killeen,"2,610 km",23 hours 48 mins
Philadelphia,Killeen,"2,610 km",23 hours 48 mins
Killeen,Laredo,486 km,4 hours 38 mins
Killeen,Laredo,486 km,4 hours 38 mins
Laredo,Texarkana,978 km,8 hours 57 mins
Laredo,Texarkana,978 km,8 hours 57 mins
Texarkana,Philadelphia,"2,080 km",19 hours 5 mins
Texarkana,Philadelphia,"2,080 km",19 hours 5 mins
Cleveland,Orlando,"1,670 km",15 hours 12 mins
Cleveland,Orlando,"1,670 km",15 hours 12 mins
Orlando,Jacksonville,226 km,2 hours 2 mins
Orlando,Jacksonville,226 km,2 hours 2 mins
Jacksonville,Fort Myers,511 km,4 hours 55 mins
Jacksonville,Fort Myers,511 km,4 hours 55 mins
Fort Myers,Cleveland,"1,951 km",18 hours 0 mins
Fort Myers,Cleveland,"1,951 km",18 hours 0 mins
Bozeman,Chicago,"2,233 km",19 hours 51 mins
Bozeman,Chicago,"2,233 km",19 hours 51 mins
Chicago,Rockford,143 km,1 hour 32 mins
Chicago,Rockford,143 km,1 hour 32 mins
Rockford,Moline,191 km,1 hour 57 mins
Rockford,Moline,191 km,1 hour 57 mins
Moline,Bozeman,"1,992 km",18 hours 8 mins
Moline,Bozeman,"1,992 km",18 hours 8 mins
Houston,Amarillo,965 km,8 hours 50 mins
Houston,Amarillo,965 km,8 hours 50 mins
Amarillo,Dallas,589 km,5 hours 30 mins
Amarillo,Dallas,589 km,5 hours 30 mins
Bloomington,Dallas,"1,385 km",12 hours 47 mins
Bloomington,Dallas,"1,385 km",12 hours 47 mins
Dallas,Amarillo,588 km,5 hours 30 mins
Dallas,Amarillo,588 km,5 hours 30 mins
Amarillo,Houston,965 km,8 hours 49 mins
Amarillo,Houston,965 km,8 hours 49 mins
Houston,Bloomington,"1,585 km",14 hours 49 mins
Houston,Bloomington,"1,585 km",14 hours 49 mins
Bangor,Jacksonville,"2,219 km",20 hours 22 mins
Bangor,Jacksonville,"2,219 km",20 hours 22 mins
Jacksonville,Daytona Beach,153 km,1 hour 29 mins
Jacksonville,Daytona Beach,153 km,1 hour 29 mins
Daytona Beach,Gainesville,158 km,2 hours 1 min
Daytona Beach,Gainesville,158 km,2 hours 1 min
Gainesville,Bangor,"2,319 km",21 hours 29 mins
Gainesville,Bangor,"2,319 km",21 hours 29 mins
Twin Falls,Salt Lake City,351 km,3 hours 14 mins
Twin Falls,Salt Lake City,351 km,3 hours 14 mins
Salt Lake City,Moab,376 km,3 hours 42 mins
Salt Lake City,Moab,376 km,3 hours 42 mins
Moab,Ogden,434 km,4 hours 12 mins
Moab,Ogden,434 km,4 hours 12 mins
Ogden,Twin Falls,295 km,2 hours 45 mins
Ogden,Twin Falls,295 km,2 hours 45 mins
Charlotte,Detroit,"1,012 km",9 hours 50 mins
Charlotte,Detroit,"1,012 km",9 hours 50 mins
Detroit,Kalamazoo,226 km,2 hours 13 mins
Detroit,Kalamazoo,226 km,2 hours 13 mins
Kalamazoo,Grand Rapids,81.3 km,49 mins
Kalamazoo,Grand Rapids,81.3 km,49 mins
Grand Rapids,Charlotte,"1,197 km",11 hours 30 mins
Grand Rapids,Charlotte,"1,197 km",11 hours 30 mins
New York,Grand Rapids,"1,200 km",11 hours 15 mins
New York,Grand Rapids,"1,200 km",11 hours 15 mins
Grand Rapids,Alpena,385 km,3 hours 52 mins
Grand Rapids,Alpena,385 km,3 hours 52 mins
Alpena,Detroit,398 km,3 hours 52 mins
Alpena,Detroit,398 km,3 hours 52 mins
Detroit,New York,989 km,9 hours 22 mins
Detroit,New York,989 km,9 hours 22 mins
Salt Lake City,San Diego,"1,207 km",10 hours 48 mins
Salt Lake City,San Diego,"1,207 km",10 hours 48 mins
San Diego,Oakland,789 km,7 hours 38 mins
San Diego,Oakland,789 km,7 hours 38 mins
Oakland,Burbank,581 km,5 hours 29 mins
Oakland,Burbank,581 km,5 hours 29 mins
Burbank,Salt Lake City,"1,112 km",9 hours 55 mins
Burbank,Salt Lake City,"1,112 km",9 hours 55 mins
Baltimore,Tampa,"1,525 km",13 hours 56 mins
Baltimore,Tampa,"1,525 km",13 hours 56 mins
Tampa,Orlando,135 km,1 hour 21 mins
Tampa,Orlando,135 km,1 hour 21 mins
Orlando,Miami,378 km,3 hours 26 mins
Orlando,Miami,378 km,3 hours 26 mins
Miami,Baltimore,"1,758 km",15 hours 50 mins
Miami,Baltimore,"1,758 km",15 hours 50 mins
Tucson,Moline,"2,508 km",23 hours 42 mins
Tucson,Moline,"2,508 km",23 hours 42 mins
Moline,Belleville,417 km,3 hours 59 mins
Moline,Belleville,417 km,3 hours 59 mins
Belleville,Chicago,474 km,4 hours 36 mins
Belleville,Chicago,474 km,4 hours 36 mins
Tallahassee,Dallas,"1,346 km",12 hours 22 mins
Tallahassee,Dallas,"1,346 km",12 hours 22 mins
Dallas,Houston,385 km,3 hours 29 mins
Dallas,Houston,385 km,3 hours 29 mins
Houston,Corpus Christi,334 km,3 hours 12 mins
Houston,Corpus Christi,334 km,3 hours 12 mins
Corpus Christi,Tallahassee,"1,480 km",13 hours 26 mins
Corpus Christi,Tallahassee,"1,480 km",13 hours 26 mins
Orlando,Boston,"2,068 km",19 hours 1 min
Orlando,Boston,"2,068 km",19 hours 1 min
Boston,Nantucket,161 km,3 hours 37 mins
Boston,Nantucket,161 km,3 hours 37 mins
Nantucket,Martha's Vineyard,60.8 km,2 hours 35 mins
Nantucket,Martha's Vineyard,60.8 km,2 hours 35 mins
Martha's Vineyard,Orlando,"2,166 km",21 hours 4 mins
Martha's Vineyard,Orlando,"2,166 km",21 hours 4 mins
Chicago,Fort Myers,"2,076 km",18 hours 53 mins
Chicago,Fort Myers,"2,076 km",18 hours 53 mins
Fort Myers,Gainesville,399 km,3 hours 43 mins
Fort Myers,Gainesville,399 km,3 hours 43 mins
Gainesville,Orlando,181 km,1 hour 46 mins
Gainesville,Orlando,181 km,1 hour 46 mins
Orlando,Chicago,"1,858 km",16 hours 53 mins
Orlando,Chicago,"1,858 km",16 hours 53 mins
Richmond,Houston,"2,131 km",19 hours 11 mins
Richmond,Houston,"2,131 km",19 hours 11 mins
Houston,Amarillo,965 km,8 hours 50 mins
Houston,Amarillo,965 km,8 hours 50 mins
Amarillo,Dallas,589 km,5 hours 30 mins
Amarillo,Dallas,589 km,5 hours 30 mins
Dallas,Richmond,"2,054 km",18 hours 37 mins
Dallas,Richmond,"2,054 km",18 hours 37 mins
Columbus,Denver,"2,026 km",18 hours 16 mins
Columbus,Denver,"2,026 km",18 hours 16 mins
Denver,Gunnison,323 km,3 hours 39 mins
Denver,Gunnison,323 km,3 hours 39 mins
Gunnison,Durango,275 km,3 hours 43 mins
Gunnison,Durango,275 km,3 hours 43 mins
Durango,Columbus,"2,408 km",22 hours 47 mins
Durango,Columbus,"2,408 km",22 hours 47 mins
Jacksonville,Wilmington,702 km,6 hours 18 mins
Jacksonville,Wilmington,702 km,6 hours 18 mins
Wilmington,Charlotte,324 km,3 hours 24 mins
Wilmington,Charlotte,324 km,3 hours 24 mins
Charlotte,Asheville,209 km,2 hours 7 mins
Charlotte,Asheville,209 km,2 hours 7 mins
Asheville,Jacksonville,712 km,6 hours 25 mins
Asheville,Jacksonville,712 km,6 hours 25 mins
New Orleans,Paducah,916 km,8 hours 53 mins
New Orleans,Paducah,916 km,8 hours 53 mins
Paducah,Owensboro,205 km,2 hours 10 mins
Paducah,Owensboro,205 km,2 hours 10 mins
Owensboro,Lexington,286 km,2 hours 47 mins
Owensboro,Lexington,286 km,2 hours 47 mins
Lexington,New Orleans,"1,201 km",10 hours 53 mins
Lexington,New Orleans,"1,201 km",10 hours 53 mins
Atlanta,Abilene,"1,553 km",13 hours 53 mins
Atlanta,Abilene,"1,553 km",13 hours 53 mins
Abilene,Amarillo,446 km,4 hours 10 mins
Abilene,Amarillo,446 km,4 hours 10 mins
Amarillo,Lubbock,197 km,1 hour 47 mins
Amarillo,Lubbock,197 km,1 hour 47 mins
Lubbock,Atlanta,"1,815 km",16 hours 12 mins
Lubbock,Atlanta,"1,815 km",16 hours 12 mins
Providence,Fort Myers,"2,303 km",21 hours 28 mins
Providence,Fort Myers,"2,303 km",21 hours 28 mins
Fort Myers,Orlando,257 km,2 hours 59 mins
Fort Myers,Orlando,257 km,2 hours 59 mins
Orlando,Fort Lauderdale,341 km,3 hours 6 mins
Orlando,Fort Lauderdale,341 km,3 hours 6 mins
Fort Lauderdale,Providence,"2,314 km",21 hours 8 mins
Fort Lauderdale,Providence,"2,314 km",21 hours 8 mins
New Orleans,Dallas,816 km,7 hours 26 mins
New Orleans,Dallas,816 km,7 hours 26 mins
Dallas,Amarillo,588 km,5 hours 30 mins
Dallas,Amarillo,588 km,5 hours 30 mins
Amarillo,Houston,965 km,8 hours 49 mins
Amarillo,Houston,965 km,8 hours 49 mins
Houston,New Orleans,559 km,5 hours 10 mins
Houston,New Orleans,559 km,5 hours 10 mins
Raleigh,Tampa,"1,048 km",9 hours 34 mins
Raleigh,Tampa,"1,048 km",9 hours 34 mins
Tampa,Panama City,604 km,5 hours 38 mins
Tampa,Panama City,604 km,5 hours 38 mins
Panama City,Orlando,575 km,5 hours 25 mins
Panama City,Orlando,575 km,5 hours 25 mins
Orlando,Raleigh,955 km,8 hours 26 mins
Orlando,Raleigh,955 km,8 hours 26 mins
Miami,State College,"2,026 km",18 hours 17 mins
Miami,State College,"2,026 km",18 hours 17 mins
State College,Johnstown,137 km,1 hour 29 mins
State College,Johnstown,137 km,1 hour 29 mins
Johnstown,Harrisburg,222 km,2 hours 25 mins
Johnstown,Harrisburg,222 km,2 hours 25 mins
Harrisburg,Miami,"1,874 km",17 hours 2 mins
Harrisburg,Miami,"1,874 km",17 hours 2 mins
Cleveland,Alamosa,"2,393 km",22 hours 4 mins
Cleveland,Alamosa,"2,393 km",22 hours 4 mins
Alamosa,Grand Junction,396 km,4 hours 29 mins
Alamosa,Grand Junction,396 km,4 hours 29 mins
Grand Junction,Denver,391 km,3 hours 51 mins
Grand Junction,Denver,391 km,3 hours 51 mins
Denver,Cleveland,"2,147 km",19 hours 20 mins
Denver,Cleveland,"2,147 km",19 hours 20 mins
Memphis,Buffalo,"1,476 km",13 hours 27 mins
Memphis,Buffalo,"1,476 km",13 hours 27 mins
Buffalo,Niagara Falls,31.9 km,26 mins
Buffalo,Niagara Falls,31.9 km,26 mins
Niagara Falls,New York,657 km,6 hours 29 mins
Niagara Falls,New York,657 km,6 hours 29 mins
New York,Memphis,"1,762 km",16 hours 20 mins
New York,Memphis,"1,762 km",16 hours 20 mins
Hartford,Moline,"1,670 km",15 hours 31 mins
Hartford,Moline,"1,670 km",15 hours 31 mins
Moline,Belleville,417 km,3 hours 59 mins
Moline,Belleville,417 km,3 hours 59 mins
Belleville,Chicago,474 km,4 hours 36 mins
Belleville,Chicago,474 km,4 hours 36 mins
Chicago,Hartford,"1,436 km",13 hours 24 mins
Chicago,Hartford,"1,436 km",13 hours 24 mins
Harrisburg,Fort Myers,"1,823 km",16 hours 51 mins
Harrisburg,Fort Myers,"1,823 km",16 hours 51 mins
Fort Myers,Gainesville,399 km,3 hours 43 mins
Fort Myers,Gainesville,399 km,3 hours 43 mins
Gainesville,Miami,541 km,4 hours 57 mins
Gainesville,Miami,541 km,4 hours 57 mins
Miami,Harrisburg,"1,872 km",16 hours 49 mins
Miami,Harrisburg,"1,872 km",16 hours 49 mins
Kansas City,Flagstaff,"1,783 km",16 hours 47 mins
Kansas City,Flagstaff,"1,783 km",16 hours 47 mins
Flagstaff,Yuma,504 km,4 hours 46 mins
Flagstaff,Yuma,504 km,4 hours 46 mins
Yuma,Phoenix,298 km,2 hours 52 mins
Yuma,Phoenix,298 km,2 hours 52 mins
Phoenix,Kansas City,"1,939 km",18 hours 31 mins
Phoenix,Kansas City,"1,939 km",18 hours 31 mins
Greer,Philadelphia,"1,009 km",9 hours 32 mins
Greer,Philadelphia,"1,009 km",9 hours 32 mins
Philadelphia,State College,309 km,3 hours 12 mins
Philadelphia,State College,309 km,3 hours 12 mins
State College,Johnstown,137 km,1 hour 29 mins
State College,Johnstown,137 km,1 hour 29 mins
Johnstown,Greer,909 km,8 hours 48 mins
Johnstown,Greer,909 km,8 hours 48 mins
New York,Fort Myers,"2,014 km",18 hours 35 mins
New York,Fort Myers,"2,014 km",18 hours 35 mins
Fort Myers,Gainesville,399 km,3 hours 43 mins
Fort Myers,Gainesville,399 km,3 hours 43 mins
Gainesville,Orlando,181 km,1 hour 46 mins
Gainesville,Orlando,181 km,1 hour 46 mins
Orlando,New York,"1,725 km",15 hours 42 mins
Orlando,New York,"1,725 km",15 hours 42 mins
South Bend,Gainesville,"1,620 km",15 hours 2 mins
South Bend,Gainesville,"1,620 km",15 hours 2 mins
Gainesville,Miami,541 km,4 hours 57 mins
Gainesville,Miami,541 km,4 hours 57 mins
Miami,Panama City,938 km,8 hours 36 mins
Miami,Panama City,938 km,8 hours 36 mins
Panama City,South Bend,"1,422 km",13 hours 54 mins
Panama City,South Bend,"1,422 km",13 hours 54 mins
Wilmington,Dallas,"1,934 km",17 hours 20 mins
Wilmington,Dallas,"1,934 km",17 hours 20 mins
Dallas,Longview,206 km,1 hour 56 mins
Dallas,Longview,206 km,1 hour 56 mins
Longview,Waco,283 km,2 hours 57 mins
Longview,Waco,283 km,2 hours 57 mins
Waco,Wilmington,"2,008 km",18 hours 19 mins
Waco,Wilmington,"2,008 km",18 hours 19 mins
Greer,Wilmington,502 km,4 hours 42 mins
Greer,Wilmington,502 km,4 hours 42 mins
Wilmington,Charlotte,324 km,3 hours 24 mins
Wilmington,Charlotte,324 km,3 hours 24 mins
Charlotte,Asheville,209 km,2 hours 7 mins
Charlotte,Asheville,209 km,2 hours 7 mins
Asheville,Greer,101 km,1 hour 14 mins
Asheville,Greer,101 km,1 hour 14 mins
El Paso,Atlanta,"2,279 km",20 hours 16 mins
El Paso,Atlanta,"2,279 km",20 hours 16 mins
Atlanta,Augusta,233 km,2 hours 13 mins
Atlanta,Augusta,233 km,2 hours 13 mins
Augusta,Decatur,229 km,2 hours 19 mins
Augusta,Decatur,229 km,2 hours 19 mins
Decatur,El Paso,"2,296 km",20 hours 34 mins
Decatur,El Paso,"2,296 km",20 hours 34 mins
Tucson,Dallas,"1,537 km",13 hours 44 mins
Tucson,Dallas,"1,537 km",13 hours 44 mins
Dallas,San Angelo,415 km,3 hours 55 mins
Dallas,San Angelo,415 km,3 hours 55 mins
San Angelo,Houston,586 km,5 hours 46 mins
San Angelo,Houston,586 km,5 hours 46 mins
Houston,Tucson,"1,715 km",15 hours 14 mins
Houston,Tucson,"1,715 km",15 hours 14 mins
Charlotte,Buffalo,"1,061 km",10 hours 0 mins
Charlotte,Buffalo,"1,061 km",10 hours 0 mins
Buffalo,New York,600 km,6 hours 14 mins
Buffalo,New York,600 km,6 hours 14 mins
New York,Syracuse,398 km,4 hours 6 mins
New York,Syracuse,398 km,4 hours 6 mins
Syracuse,Charlotte,"1,170 km",10 hours 54 mins
Syracuse,Charlotte,"1,170 km",10 hours 54 mins
Providence,Augusta,"1,545 km",14 hours 37 mins
Providence,Augusta,"1,545 km",14 hours 37 mins
Augusta,Decatur,229 km,2 hours 19 mins
Augusta,Decatur,229 km,2 hours 19 mins
Decatur,Atlanta,13.0 km,19 mins
Decatur,Atlanta,13.0 km,19 mins
Atlanta,Providence,"1,681 km",15 hours 56 mins
Atlanta,Providence,"1,681 km",15 hours 56 mins
Traverse City,Moline,749 km,7 hours 0 mins
Traverse City,Moline,749 km,7 hours 0 mins
Moline,Belleville,417 km,3 hours 59 mins
Moline,Belleville,417 km,3 hours 59 mins
Belleville,Chicago,474 km,4 hours 36 mins
Belleville,Chicago,474 km,4 hours 36 mins
Chicago,Traverse City,514 km,4 hours 53 mins
Chicago,Traverse City,514 km,4 hours 53 mins
Sacramento,San Luis Obispo,471 km,4 hours 33 mins
Sacramento,San Luis Obispo,471 km,4 hours 33 mins
San Luis Obispo,Santa Barbara,152 km,1 hour 37 mins
San Luis Obispo,Santa Barbara,152 km,1 hour 37 mins
Santa Barbara,Dallas,"2,466 km",22 hours 16 mins
Santa Barbara,Dallas,"2,466 km",22 hours 16 mins
Los Angeles,Santa Ana,51.8 km,41 mins
Los Angeles,Santa Ana,51.8 km,41 mins
Santa Ana,San Francisco,666 km,6 hours 34 mins
Santa Ana,San Francisco,666 km,6 hours 34 mins
Pensacola,Dallas,"1,049 km",9 hours 44 mins
Pensacola,Dallas,"1,049 km",9 hours 44 mins
Dallas,San Antonio,441 km,4 hours 4 mins
Dallas,San Antonio,441 km,4 hours 4 mins
San Antonio,Houston,317 km,2 hours 56 mins
San Antonio,Houston,317 km,2 hours 56 mins
Houston,Pensacola,845 km,7 hours 38 mins
Houston,Pensacola,845 km,7 hours 38 mins
Seattle,San Diego,"2,020 km",19 hours 14 mins
Seattle,San Diego,"2,020 km",19 hours 14 mins
San Diego,Santa Rosa,882 km,8 hours 30 mins
San Diego,Santa Rosa,882 km,8 hours 30 mins
Santa Rosa,Los Angeles,690 km,6 hours 36 mins
Santa Rosa,Los Angeles,690 km,6 hours 36 mins
Los Angeles,Seattle,"1,826 km",17 hours 22 mins
Los Angeles,Seattle,"1,826 km",17 hours 22 mins
Madison,State College,"1,156 km",10 hours 56 mins
Madison,State College,"1,156 km",10 hours 56 mins
State College,Johnstown,137 km,1 hour 29 mins
State College,Johnstown,137 km,1 hour 29 mins
Johnstown,Philadelphia,384 km,3 hours 54 mins
Johnstown,Philadelphia,384 km,3 hours 54 mins
Philadelphia,Madison,"1,457 km",13 hours 44 mins
Philadelphia,Madison,"1,457 km",13 hours 44 mins
Des Moines,Flagstaff,"2,097 km",19 hours 33 mins
Des Moines,Flagstaff,"2,097 km",19 hours 33 mins
Flagstaff,Yuma,504 km,4 hours 46 mins
Flagstaff,Yuma,504 km,4 hours 46 mins
Yuma,Phoenix,298 km,2 hours 52 mins
Yuma,Phoenix,298 km,2 hours 52 mins
Phoenix,Des Moines,"2,249 km",21 hours 16 mins
Phoenix,Des Moines,"2,249 km",21 hours 16 mins
Asheville,Buffalo,"1,109 km",10 hours 26 mins
Asheville,Buffalo,"1,109 km",10 hours 26 mins
Buffalo,Niagara Falls,31.9 km,26 mins
Buffalo,Niagara Falls,31.9 km,26 mins
Niagara Falls,New York,657 km,6 hours 29 mins
Niagara Falls,New York,657 km,6 hours 29 mins
New York,Asheville,"1,110 km",10 hours 34 mins
New York,Asheville,"1,110 km",10 hours 34 mins
Tulsa,San Diego,"2,282 km",20 hours 46 mins
Tulsa,San Diego,"2,282 km",20 hours 46 mins
San Diego,Los Angeles,194 km,2 hours 0 mins
San Diego,Los Angeles,194 km,2 hours 0 mins
Los Angeles,Long Beach,38.5 km,28 mins
Los Angeles,Long Beach,38.5 km,28 mins
Long Beach,Tulsa,"2,332 km",20 hours 55 mins
Long Beach,Tulsa,"2,332 km",20 hours 55 mins
Milwaukee,Green Bay,188 km,1 hour 48 mins
Milwaukee,Green Bay,188 km,1 hour 48 mins
Green Bay,Madison,222 km,2 hours 22 mins
Green Bay,Madison,222 km,2 hours 22 mins
Des Moines,Moline,277 km,2 hours 33 mins
Des Moines,Moline,277 km,2 hours 33 mins
Moline,Belleville,417 km,3 hours 59 mins
Moline,Belleville,417 km,3 hours 59 mins
Belleville,Chicago,474 km,4 hours 36 mins
Belleville,Chicago,474 km,4 hours 36 mins
Chicago,Des Moines,537 km,4 hours 58 mins
Chicago,Des Moines,537 km,4 hours 58 mins
Charleston,Nashville,888 km,8 hours 22 mins
Charleston,Nashville,888 km,8 hours 22 mins
Nashville,Chattanooga,214 km,2 hours 4 mins
Nashville,Chattanooga,214 km,2 hours 4 mins
Chattanooga,Memphis,547 km,5 hours 0 mins
Chattanooga,Memphis,547 km,5 hours 0 mins
Memphis,Charleston,"1,108 km",10 hours 21 mins
Memphis,Charleston,"1,108 km",10 hours 21 mins
Providence,Atlanta,"1,689 km",16 hours 1 min
Providence,Atlanta,"1,689 km",16 hours 1 min
Atlanta,Valdosta,368 km,3 hours 20 mins
Atlanta,Valdosta,368 km,3 hours 20 mins
Valdosta,Augusta,350 km,4 hours 15 mins
Valdosta,Augusta,350 km,4 hours 15 mins
Augusta,Providence,"1,539 km",14 hours 32 mins
Augusta,Providence,"1,539 km",14 hours 32 mins
Newark,Bemidji,"2,255 km",21 hours 12 mins
Newark,Bemidji,"2,255 km",21 hours 12 mins
Bemidji,Minneapolis,347 km,3 hours 34 mins
Bemidji,Minneapolis,347 km,3 hours 34 mins
Minneapolis,Brainerd,203 km,2 hours 6 mins
