NAME,price,room type,house_rules,minimum nights,maximum occupancy,review rate number,city
"Private room. 1 bed, 2 guests, 3333 Broadway",705.0,Private room,No children under 10 & No smoking,1.0,2,3.0,Wilmington
Close to East Side Hospitals- Modern 2 Bedroom Apt,285.0,Entire home/apt,No smoking,30.0,3,3.0,Wilmington
Vibrant Crown Heights,343.0,Private room,No visitors & No smoking & No children under 10,3.0,1,5.0,Wilmington
A Lovely One Bedroom Apartment!,882.0,Entire home/apt,No parties,10.0,8,5.0,Wilmington
Full-Service Junior Suite in Midtown Manhattan,368.0,Entire home/apt,No smoking & No pets,3.0,2,3.0,Wilmington
Private room for 2 (10 min to city) - Females only,453.0,Private room,No parties & No smoking & No visitors,1.0,1,4.0,Wilmington
Semi Private Bedroom,840.0,Shared room,No smoking & No visitors,1.0,1,3.0,Wilmington
Luxury 3 bedroom apartment on the Upper East Side,481.0,Entire home/apt,No children under 10 & No smoking,2.0,3,5.0,Wilmington
Big and cozy room,104.0,Private room,No smoking & No parties,3.0,2,5.0,Wilmington
Charming 1BR in heart of Chinatown,503.0,Private room,No smoking & No children under 10,2.0,2,2.0,Wilmington
Luxury Apt very close to public transport,871.0,Private room,No pets & No children under 10,5.0,2,4.0,Wilmington
BEAUTIFUL&BRIGHT 1 bd (E. Village),207.0,Private room,No pets,1.0,1,5.0,Wilmington
"Private BRoom ,Bathroom & backyard",56.0,Private room,No parties & No children under 10 & No pets,4.0,2,1.0,Fayetteville
*CoZy Private Williamsburg Home*,546.0,Entire home/apt,No children under 10 & No smoking & No visitors,2.0,5,2.0,Fayetteville
24 Lex Prime Location of East NYC 15min to TimeSq,509.0,Entire home/apt,No children under 10,2.0,3,2.0,Fayetteville
Brownstone Studio,396.0,Entire home/apt,No smoking,3.0,3,4.0,Fayetteville
3 B   GREAT 1BR APT IN NEW YORK CITY,135.0,Entire home/apt,No pets,30.0,2,1.0,Fayetteville
Light-filled South Slope Nest!,790.0,Entire home/apt,No children under 10,2.0,2,2.0,Fayetteville
TRANQUIL HAVEN W/PRIVATE BATH-8 MINS TO JFK RM.#1,251.0,Private room,No visitors & No parties & No children under 10,1.0,2,4.0,Fayetteville
Modern Luxury Studio in Manhattan,1125.0,Entire home/apt,No pets,7.0,11,3.0,Fayetteville
Modern 4story building w/private bathroom elavator,276.0,Private room,No parties & No visitors,2.0,2,3.0,Fayetteville
Charming 1 Bedroom in Ideal Location,433.0,Entire home/apt,No pets & No visitors,3.0,3,3.0,Fayetteville
Ruby Bedroom,585.0,Private room,No parties,2.0,2,2.0,Fayetteville
#ERROR!,442.0,Private room,No smoking,25.0,1,3.0,Fayetteville
Spacious Room in Large 2 Bedroom Prewar Apartment,585.0,Private room,No parties & No visitors,1.0,2,4.0,San Diego
Big room near Prospect Park! NY!,752.0,Private room,No parties & No smoking & No pets,7.0,1,2.0,San Diego
"Luxury 4BR Home, Spacious & Central to Trains",392.0,Entire home/apt,No parties,3.0,3,5.0,San Diego
Cozy 1.5BD in Parkslope Brooklyn,1093.0,Entire home/apt,No parties,3.0,10,2.0,San Diego
Spacious & Homey Williamsburg 1BR Apartment,1004.0,Entire home/apt,No parties,5.0,4,3.0,San Diego
Upper East Side 1 Bedroom Gem,692.0,Shared room,No children under 10 & No parties & No smoking,2.0,1,3.0,San Diego
Organic Oasis Duplex (EMF-free),1186.0,Entire home/apt,No visitors & No smoking,60.0,4,4.0,San Diego
Harlem Garden Oasis in  New York City Brownstone,368.0,Entire home/apt,No visitors,31.0,3,5.0,San Diego
Conveniently located 2 BR Time Square Apartment,502.0,Entire home/apt,No parties & No smoking & No children under 10,2.0,4,5.0,San Diego
LargeBedroom gem in historic Red Hook Brooklyn!,787.0,Private room,No visitors,4.0,2,3.0,San Diego
The Perfect Upper East Side Apartment,847.0,Entire home/apt,No visitors,1.0,2,3.0,San Diego
CHIC EVENT SPACE,1068.0,Entire home/apt,No visitors,1.0,2,5.0,San Diego
Midtown East 2 Bed/2 Bath Elevator Building Apt,540.0,Entire home/apt,No pets,7.0,4,3.0,Los Angeles
Sunny apartment with easy connections to anywhere.,968.0,Private room,No children under 10,3.0,1,4.0,Los Angeles
"Upper West Side, Manhattan, NY",1083.0,Entire home/apt,No parties & No visitors,6.0,10,1.0,Los Angeles
"Room in Queens, NY, near LGA.",982.0,Private room,No children under 10,1.0,2,2.0,Los Angeles
Best Nest.,371.0,Private room,No pets,1.0,2,4.0,Los Angeles
Cozy Harlem Home,987.0,Private room,No smoking & No parties,1.0,2,2.0,Los Angeles
Enormous Private Room in Shared Apartment,198.0,Private room,No pets & No children under 10,5.0,1,3.0,Los Angeles
Cosy room in a sunny Brooklyn flat,678.0,Private room,No smoking,3.0,1,3.0,Los Angeles
Private Room with Private Bath Upper East Side,359.0,Private room,No children under 10,1.0,2,4.0,Los Angeles
Spacious Luxury Studio-96th and WEA,820.0,Entire home/apt,No parties & No pets,4.0,8,2.0,Los Angeles
Luxury building studio,1076.0,Entire home/apt,No parties & No children under 10,2.0,2,1.0,Los Angeles
Lovely studio,117.0,Entire home/apt,No visitors,1.0,3,4.0,Los Angeles
"1BR, elevator, kitchen, doorman!",475.0,Entire home/apt,No parties,1.0,3,2.0,Dallas
"Luxury Williamsburg duplex, private roof terrace",241.0,Entire home/apt,No visitors,4.0,3,5.0,Dallas
Take it now you won't find better,609.0,Entire home/apt,No pets,1.0,4,2.0,Dallas
E. W'burg Private Room near subway,272.0,Private room,No visitors & No smoking,15.0,2,2.0,Dallas
Cozy&Central:EmpireState/Highline/Times Square,628.0,Entire home/apt,No visitors & No pets & No smoking,3.0,4,3.0,Dallas
*Fresh Budget Room,262.0,Private room,No visitors & No smoking,2.0,1,4.0,Dallas
Chic Union Square One Bedroom,1096.0,Entire home/apt,No visitors,3.0,5,5.0,Dallas
Bright and modern apartment in Williamsburg!,865.0,Entire home/apt,No smoking,6.0,5,4.0,Dallas
Jackson Heights 2 bedrooms housing,747.0,Entire home/apt,No parties & No children under 10 & No smoking,2.0,2,3.0,Dallas
Exclusive Modern Penthouse Apartment,483.0,Entire home/apt,No pets & No visitors,1.0,3,3.0,Dallas
"SUNNY, SAFE and FRIENDLY minutes to Manhattan!",559.0,Entire home/apt,No pets,2.0,4,2.0,Dallas
Sunny Brooklyn room,227.0,Private room,No pets,7.0,2,3.0,Dallas
Charming Suite in Historic Home,348.0,Entire home/apt,No parties & No children under 10,1.0,3,3.0,Dallas
2 Bedroom Apt in downtown Brooklyn,1180.0,Entire home/apt,No visitors & No children under 10 & No parties,4.0,5,2.0,Dallas
Quite & Cozy High Raise Atmosphere,635.0,Private room,No smoking,1.0,1,5.0,Dallas
Upper east side duplex,819.0,Entire home/apt,No pets,3.0,7,2.0,Dallas
Central Park west. Big Cozy Room,709.0,Private room,No pets,1.0,2,4.0,Dallas
Huge Private Room Near Prospect Park,73.0,Private room,No parties & No pets,7.0,2,2.0,Dallas
Private room close to the center of Williamburg,231.0,Private room,No visitors & No children under 10,1.0,1,2.0,Dallas
Spacious cozy apartment,314.0,Entire home/apt,No children under 10,2.0,3,1.0,Dallas
Charming Garden Apartment in Brooklyn Brownstone,434.0,Entire home/apt,No visitors,2.0,2,3.0,Dallas
Friendly hosts,806.0,Private room,No smoking,1.0,2,4.0,Dallas
Minutes from JFK airport and famous mall,711.0,Private room,No visitors & No parties,2.0,2,3.0,Dallas
Sunny and Airy near Manhattan,499.0,Entire home/apt,No pets,2.0,4,5.0,Houston
Bright room in 2BR apt in Nolita!,1024.0,Private room,No children under 10,2.0,2,4.0,Houston
Superhost 3 bedroom DISCOUNT,746.0,Entire home/apt,No pets,1.0,5,4.0,Houston
Spacious room in front of prospect park,259.0,Private room,No smoking,1.0,1,5.0,Houston
Private bedroom in artsy NYC apartment.,488.0,Private room,No smoking,3.0,1,3.0,Houston
Cozy Room near Casino and Metro,1092.0,Private room,No parties,1.0,2,4.0,Houston
"1BR in Newly Renovated Apartment - Rm C, Bushwick!",288.0,Private room,No smoking,1.0,1,4.0,Houston
"Artsy, Sun-Soaked Pre-War Williamsburg Apt",872.0,Entire home/apt,No parties,10.0,2,4.0,Houston
Beautiful and Huge Room in Brooklyn,957.0,Private room,No parties & No pets,13.0,1,3.0,Houston
Backpackers Dream for 1 at The Funky Loft,244.0,Private room,No parties & No smoking,3.0,1,4.0,Houston
1 BR in Carroll Gardens Townhouse,397.0,Private room,No visitors & No smoking,2.0,1,4.0,Phoenix
Cozy Room in East Harlem,779.0,Private room,No visitors,3.0,2,3.0,Phoenix
Lower East Side Oasis  (private room),487.0,Private room,No children under 10 & No visitors,2.0,2,2.0,Phoenix
"BEDSTUY BK - PAD
SHORT/ LONG TERM STAYS
NO EVENTS",1188.0,Entire home/apt,No smoking,1.0,10,2.0,Phoenix
"Bright, Williamsburg bedroom with private balcony",1021.0,Private room,No parties & No pets,2.0,2,2.0,Phoenix
Hudson Yard - Bright Double Double  Room,880.0,Private room,No pets & No visitors,1.0,2,5.0,Phoenix
"Murray Hill, The Heart of Manhattan",361.0,Private room,No smoking,3.0,1,4.0,Phoenix
"6 Guests! Close to JFK-Manhattan(30 min ""A"" train)",834.0,Entire home/apt,No pets & No parties,1.0,8,5.0,Phoenix
Large Sunny Room with Huge patio in Wburg,881.0,Private room,No parties,2.0,2,4.0,Phoenix
Twin Cabin with a Window One,234.0,Private room,No parties,1.0,1,2.0,Phoenix
"1,100 sq. ft. apt. Penthouse with private deck!",209.0,Entire home/apt,No visitors & No pets,1.0,3,5.0,Phoenix
Bright big bedroom in Brooklyn,894.0,Private room,No smoking,1.0,2,5.0,Phoenix
Pretty Williamsburg Loft,1181.0,Entire home/apt,No visitors,1.0,6,5.0,Phoenix
Brooklyn Home II,631.0,Private room,No visitors & No children under 10,1.0,2,2.0,Phoenix
TriBeCa Amazing River View Loft 3BR,1195.0,Entire home/apt,No parties,10.0,11,1.0,Phoenix
PRIME LOCATION CLEAN SOHO PRIVATE ROOM 2 BEDROOM,919.0,Private room,No smoking,1.0,2,4.0,Phoenix
Large Bedroom in 2 Bed Apartment Brighton Beach,959.0,Private room,No children under 10,1.0,2,3.0,Flagstaff
SHARE;SAFE;CHEAPEST;15 MIN TO HEART OF MANHATTAN.,551.0,Shared room,No pets,1.0,1,2.0,Flagstaff
Doorman Time SQ View 2 bed 2 bath 5200,641.0,Entire home/apt,No visitors,30.0,2,2.0,Flagstaff
"Tranquil private bedroom, Hamilton Heights, NY",804.0,Private room,No children under 10 & No smoking,1.0,2,2.0,Flagstaff
Lower East Dream Room!,1155.0,Private room,No children under 10,2.0,1,2.0,Flagstaff
Stunning 2 bedroom Apt - Breathtaking views!!,914.0,Entire home/apt,No visitors & No pets,30.0,8,4.0,Flagstaff
Air conditioned Excellent Private Room for 1,185.0,Private room,No children under 10 & No parties,5.0,2,4.0,Flagstaff
Comfortable Space in Heart of Astoria,1184.0,Shared room,No parties,30.0,1,3.0,Flagstaff
Stylish apartment in the heart of New York,1086.0,Entire home/apt,No smoking,2.0,8,3.0,Flagstaff
Sunny and Airy near Manhattan,499.0,Entire home/apt,No pets,2.0,4,5.0,Houston
Bright room in 2BR apt in Nolita!,1024.0,Private room,No children under 10,2.0,2,4.0,Houston
Superhost 3 bedroom DISCOUNT,746.0,Entire home/apt,No pets,1.0,5,4.0,Houston
Spacious room in front of prospect park,259.0,Private room,No smoking,1.0,1,5.0,Houston
Private bedroom in artsy NYC apartment.,488.0,Private room,No smoking,3.0,1,3.0,Houston
Cozy Room near Casino and Metro,1092.0,Private room,No parties,1.0,2,4.0,Houston
"1BR in Newly Renovated Apartment - Rm C, Bushwick!",288.0,Private room,No smoking,1.0,1,4.0,Houston
"Artsy, Sun-Soaked Pre-War Williamsburg Apt",872.0,Entire home/apt,No parties,10.0,2,4.0,Houston
Beautiful and Huge Room in Brooklyn,957.0,Private room,No parties & No pets,13.0,1,3.0,Houston
Backpackers Dream for 1 at The Funky Loft,244.0,Private room,No parties & No smoking,3.0,1,4.0,Houston
"Spacious, bright room, prime Williamsburg location",900.0,Private room,No pets,3.0,2,4.0,San Antonio
Airy Brooklyn Limestone:  2 bedroom suite,603.0,Private room,No visitors & No children under 10,3.0,2,3.0,San Antonio
Charming Bedroom in Gramercy,353.0,Private room,No visitors & No parties,1.0,2,2.0,San Antonio
Large apt in prime carol gardens,1155.0,Entire home/apt,No smoking,1.0,10,2.0,San Antonio
Private House in Trendy Crown Heights,642.0,Entire home/apt,No smoking,2.0,6,4.0,San Antonio
Cozy 4 Bedroom's Times Square Apartment!,718.0,Private room,No visitors,3.0,2,2.0,San Antonio
"Williamsburg Gardens Flat, Large Room Private Bath",172.0,Private room,No smoking & No children under 10,3.0,1,1.0,San Antonio
Modern 1 Bedroom in Dumbo / Vinegar Hill,1028.0,Entire home/apt,No parties & No smoking,30.0,6,1.0,San Antonio
Sunny and Airy near Manhattan,499.0,Entire home/apt,No pets,2.0,4,5.0,Houston
Bright room in 2BR apt in Nolita!,1024.0,Private room,No children under 10,2.0,2,4.0,Houston
Superhost 3 bedroom DISCOUNT,746.0,Entire home/apt,No pets,1.0,5,4.0,Houston
Spacious room in front of prospect park,259.0,Private room,No smoking,1.0,1,5.0,Houston
Private bedroom in artsy NYC apartment.,488.0,Private room,No smoking,3.0,1,3.0,Houston
Cozy Room near Casino and Metro,1092.0,Private room,No parties,1.0,2,4.0,Houston
"1BR in Newly Renovated Apartment - Rm C, Bushwick!",288.0,Private room,No smoking,1.0,1,4.0,Houston
"Artsy, Sun-Soaked Pre-War Williamsburg Apt",872.0,Entire home/apt,No parties,10.0,2,4.0,Houston
Beautiful and Huge Room in Brooklyn,957.0,Private room,No parties & No pets,13.0,1,3.0,Houston
Backpackers Dream for 1 at The Funky Loft,244.0,Private room,No parties & No smoking,3.0,1,4.0,Houston
"1BR, elevator, kitchen, doorman!",475.0,Entire home/apt,No parties,1.0,3,2.0,Dallas
"Luxury Williamsburg duplex, private roof terrace",241.0,Entire home/apt,No visitors,4.0,3,5.0,Dallas
Take it now you won't find better,609.0,Entire home/apt,No pets,1.0,4,2.0,Dallas
E. W'burg Private Room near subway,272.0,Private room,No visitors & No smoking,15.0,2,2.0,Dallas
Cozy&Central:EmpireState/Highline/Times Square,628.0,Entire home/apt,No visitors & No pets & No smoking,3.0,4,3.0,Dallas
*Fresh Budget Room,262.0,Private room,No visitors & No smoking,2.0,1,4.0,Dallas
Chic Union Square One Bedroom,1096.0,Entire home/apt,No visitors,3.0,5,5.0,Dallas
Bright and modern apartment in Williamsburg!,865.0,Entire home/apt,No smoking,6.0,5,4.0,Dallas
Jackson Heights 2 bedrooms housing,747.0,Entire home/apt,No parties & No children under 10 & No smoking,2.0,2,3.0,Dallas
Exclusive Modern Penthouse Apartment,483.0,Entire home/apt,No pets & No visitors,1.0,3,3.0,Dallas
"SUNNY, SAFE and FRIENDLY minutes to Manhattan!",559.0,Entire home/apt,No pets,2.0,4,2.0,Dallas
Sunny Brooklyn room,227.0,Private room,No pets,7.0,2,3.0,Dallas
Charming Suite in Historic Home,348.0,Entire home/apt,No parties & No children under 10,1.0,3,3.0,Dallas
2 Bedroom Apt in downtown Brooklyn,1180.0,Entire home/apt,No visitors & No children under 10 & No parties,4.0,5,2.0,Dallas
Quite & Cozy High Raise Atmosphere,635.0,Private room,No smoking,1.0,1,5.0,Dallas
Upper east side duplex,819.0,Entire home/apt,No pets,3.0,7,2.0,Dallas
Central Park west. Big Cozy Room,709.0,Private room,No pets,1.0,2,4.0,Dallas
Huge Private Room Near Prospect Park,73.0,Private room,No parties & No pets,7.0,2,2.0,Dallas
Private room close to the center of Williamburg,231.0,Private room,No visitors & No children under 10,1.0,1,2.0,Dallas
Spacious cozy apartment,314.0,Entire home/apt,No children under 10,2.0,3,1.0,Dallas
Charming Garden Apartment in Brooklyn Brownstone,434.0,Entire home/apt,No visitors,2.0,2,3.0,Dallas
Friendly hosts,806.0,Private room,No smoking,1.0,2,4.0,Dallas
Minutes from JFK airport and famous mall,711.0,Private room,No visitors & No parties,2.0,2,3.0,Dallas
2 bedrooms apartment 10 minutes from Manhattan,690.0,Entire home/apt,No children under 10 & No visitors & No smoking,15.0,5,2.0,Grand Rapids
Stylish One Bedroom Apartment!!,1124.0,Entire home/apt,No parties,3.0,3,5.0,Grand Rapids
Oversized bedroom with living space,908.0,Private room,No pets & No smoking,20.0,2,3.0,Grand Rapids
Brooklyn home,287.0,Private room,No visitors,4.0,2,4.0,Grand Rapids
Sunny Ditmas Park Carriage House (Events Listing),483.0,Entire home/apt,No pets,1.0,3,4.0,Grand Rapids
Noel Palace,147.0,Private room,No parties & No visitors,3.0,2,3.0,Grand Rapids
Comfy King Bed Feet from Subway,568.0,Private room,No parties,3.0,1,5.0,Detroit
Cozy 1 bedroom in the heart of Fort Greene,751.0,Entire home/apt,No pets & No parties,3.0,6,5.0,Detroit
Romantic Top Floor Brownstone in Crown Heights,1077.0,Entire home/apt,No pets & No smoking,1.0,6,4.0,Detroit
"Beautiful Private Room near Highline, and Train",1044.0,Private room,No parties & No pets,30.0,2,2.0,Detroit
Fashion Designer Studio - Entire Apartment,934.0,Entire home/apt,No smoking & No visitors & No parties,30.0,7,1.0,Detroit
"Brooklyn Brownstone, 3-Bdr & Garden",400.0,Entire home/apt,No children under 10,3.0,2,3.0,Detroit
"Lovely, charming and clean bedroom in Manhattan.",69.0,Private room,No smoking,1.0,2,2.0,Detroit
The Ultimate Luxury!,1017.0,Entire home/apt,No smoking,6.0,8,2.0,Detroit
NEW Brooklyn studio get away!,803.0,Entire home/apt,No children under 10,2.0,7,2.0,Detroit
Nice Room in Manhattan,300.0,Private room,No visitors,1.0,1,1.0,Detroit
Modern Luxury Loft  3bd  Williamsburg,980.0,Entire home/apt,No pets & No parties,3.0,5,5.0,Detroit
Beautiful large floor-through apartment,769.0,Entire home/apt,No children under 10,3.0,4,5.0,Kansas City
Brooklyn Brownstone duplex + garden,126.0,Entire home/apt,No pets,7.0,2,5.0,Kansas City
H. Potter theme place,85.0,Entire home/apt,No visitors,10.0,3,1.0,Kansas City
West Village penthouse loft w roof,141.0,Entire home/apt,No pets,3.0,3,5.0,Kansas City
Room in cute apartment in South Williamsburg,937.0,Private room,No smoking & No children under 10,5.0,1,1.0,Kansas City
Cozy gem in Greenwich Village @ border of SoHo,714.0,Entire home/apt,No visitors,2.0,6,5.0,Kansas City
Sunny & Cozy 1BR/1BA Apartment In Upper NYC,111.0,Entire home/apt,No visitors & No children under 10,2.0,2,2.0,Kansas City
Affordable Lenox Ave Room. Clean Sunny  Comfy!,352.0,Private room,No pets,30.0,1,2.0,Kansas City
Southern comfort in Harlem,175.0,Private room,No visitors & No pets,1.0,1,1.0,Kansas City
Artists' Sunny 1-BR Apt in Astoria,1071.0,Entire home/apt,No visitors & No children under 10,1.0,9,2.0,Kansas City
Wyndham Midtown 45 (2 Bedroom Presidential) 4A,192.0,Entire home/apt,No visitors,3.0,2,3.0,Kansas City
Cozy Private Room,1154.0,Private room,No smoking & No visitors,28.0,1,1.0,Kansas City
Private Room on the Upper West Side,90.0,Private room,No visitors,2.0,2,4.0,Kansas City
A Comfortable Room,266.0,Private room,No parties & No visitors & No pets,1.0,1,4.0,Kansas City
BK Master bedroom with King sized bed,1093.0,Private room,No parties,2.0,2,2.0,Kansas City
Your SUNNYROOM 15mnts to Manhattan!,154.0,Private room,No smoking & No parties & No visitors,2.0,2,4.0,Kansas City
Beautiful private bedroom in Brooklyn,390.0,Private room,No children under 10,1.0,1,5.0,Kansas City
Lux 2Bed/2.5Bath Central Park Views,1004.0,Entire home/apt,No pets & No visitors,30.0,7,5.0,St. Louis
Kan house,749.0,Private room,No pets,1.0,2,4.0,St. Louis
Sublet in Furnished Master Bedroom,930.0,Private room,No smoking & No parties & No pets,1.0,2,5.0,St. Louis
"Private room in large, central Nolita penthouse!",342.0,Private room,No visitors,3.0,2,5.0,St. Louis
1800sf Urban Goddess Brooklyn Loft,898.0,Entire home/apt,No pets & No parties,2.0,4,2.0,St. Louis
Pet & Tony's Residence,271.0,Entire home/apt,No parties & No visitors & No pets,1.0,2,3.0,St. Louis
Comfy room with WiFi. Mins to Central Park!,934.0,Private room,No children under 10,30.0,2,5.0,St. Louis
"Beloved Williamsburg, Brooklyn is calling to you!",332.0,Private room,No pets & No parties & No smoking,3.0,2,4.0,St. Louis
Modern Luxury Loft  3bd  Williamsburg,980.0,Entire home/apt,No visitors & No children under 10,3.0,4,5.0,St. Louis
Huge two bedroom apt n Bayridge!!!,1088.0,Private room,No children under 10,1.0,2,2.0,St. Louis
Peaceful room in Bushwick,79.0,Private room,No parties,1.0,1,3.0,St. Louis
Nice bedroom - Lower East Side,993.0,Private room,No smoking,1.0,2,4.0,St. Louis
Studio Apt. near Empire State Bldg 4B,390.0,Entire home/apt,No smoking,30.0,3,2.0,St. Louis
Cozy Escape in the thriving heart of Bed-Stuy,230.0,Entire home/apt,No pets & No visitors,2.0,3,5.0,St. Louis
Quiet and beautiful apartment near central park,930.0,Entire home/apt,No parties & No smoking,7.0,9,2.0,Fort Myers
Great room in Greenwich Village!,133.0,Private room,No visitors,1.0,1,4.0,Fort Myers
"Basement suite in Bushwick, 4 minutes from the M!",193.0,Private room,No children under 10 & No parties,3.0,2,3.0,Fort Myers
Large one bed room pied a terre in Park Slope,903.0,Entire home/apt,No pets & No smoking,30.0,2,4.0,Fort Myers
Beautiful & sunny large room in a gorgeous apt.,414.0,Private room,No smoking,30.0,2,5.0,Fort Myers
Spacious 1 Bedroom in the Heart of Williamsburg,623.0,Entire home/apt,No children under 10 & No smoking & No parties,1.0,2,2.0,Fort Myers
Private Apt in Queens NYC/less 5min walk to train,446.0,Entire home/apt,No pets & No parties,5.0,4,4.0,Fort Myers
Brooklyn Apartment,739.0,Private room,No smoking & No children under 10,6.0,2,3.0,Fort Myers
"Spacious and Cozy apartment, minutes to Manhattan!",1019.0,Private room,No children under 10 & No smoking,2.0,2,5.0,Fort Myers
"Lovely room with private bathroom, near Manhattan",681.0,Private room,No parties,1.0,1,1.0,Fort Myers
"Lower East Side, Bohemian Home, hipster location",783.0,Private room,No parties,3.0,2,2.0,Fort Myers
Studio Apartment in Upper East Side,366.0,Entire home/apt,No children under 10 & No visitors & No parties,7.0,3,5.0,Fort Myers
La Quinta Central Park West,327.0,Private room,No parties,1.0,2,5.0,Fort Myers
Medical Student Room A : Brooklyn Hospitals,508.0,Private room,No smoking,30.0,2,2.0,Fort Myers
East Village~Organic Living,984.0,Entire home/apt,No children under 10 & No parties,2.0,2,5.0,Fort Myers
Private furnished bedroom in Williamsburg,179.0,Private room,No parties & No smoking & No children under 10,5.0,1,2.0,Orlando
"Sixth Ave Chelsea, Studio Serviced Apartment",70.0,Entire home/apt,No visitors & No pets,30.0,3,2.0,Orlando
Large and furnished,345.0,Private room,No smoking & No pets,7.0,2,4.0,Orlando
Private room in Jackson Heights Apartment 2+,1081.0,Private room,No parties,1.0,1,1.0,Orlando
"Che’ Randall Deux
SoBro
10 minutes to Manhattan!",854.0,Private room,No children under 10,5.0,2,4.0,Orlando
Room in Upper East Side!,885.0,Private room,No smoking & No pets & No parties,1.0,2,4.0,Orlando
BKLYN Brownstone- Glam Getaway!,287.0,Entire home/apt,No pets & No visitors,3.0,2,3.0,Orlando
"Rare Find: SUNNY, LARGE DUPLEX Chelsea 2BR 2BA",188.0,Entire home/apt,No pets,6.0,2,5.0,Orlando
Riverside Drive Apartment,878.0,Entire home/apt,No visitors & No parties & No smoking,31.0,5,5.0,Orlando
"Private room. 1 bed, 2 guests, 3333 Broadway",705.0,Private room,No pets,1.0,2,3.0,Orlando
Quiet and beautiful apartment near central park,930.0,Entire home/apt,No parties & No smoking,7.0,9,2.0,Fort Myers
Great room in Greenwich Village!,133.0,Private room,No visitors,1.0,1,4.0,Fort Myers
"Basement suite in Bushwick, 4 minutes from the M!",193.0,Private room,No children under 10 & No parties,3.0,2,3.0,Fort Myers
Large one bed room pied a terre in Park Slope,903.0,Entire home/apt,No pets & No smoking,30.0,2,4.0,Fort Myers
Beautiful & sunny large room in a gorgeous apt.,414.0,Private room,No smoking,30.0,2,5.0,Fort Myers
Spacious 1 Bedroom in the Heart of Williamsburg,623.0,Entire home/apt,No children under 10 & No smoking & No parties,1.0,2,2.0,Fort Myers
Private Apt in Queens NYC/less 5min walk to train,446.0,Entire home/apt,No pets & No parties,5.0,4,4.0,Fort Myers
Brooklyn Apartment,739.0,Private room,No smoking & No children under 10,6.0,2,3.0,Fort Myers
"Spacious and Cozy apartment, minutes to Manhattan!",1019.0,Private room,No children under 10 & No smoking,2.0,2,5.0,Fort Myers
"Lovely room with private bathroom, near Manhattan",681.0,Private room,No parties,1.0,1,1.0,Fort Myers
"Lower East Side, Bohemian Home, hipster location",783.0,Private room,No parties,3.0,2,2.0,Fort Myers
Studio Apartment in Upper East Side,366.0,Entire home/apt,No children under 10 & No visitors & No parties,7.0,3,5.0,Fort Myers
La Quinta Central Park West,327.0,Private room,No parties,1.0,2,5.0,Fort Myers
Medical Student Room A : Brooklyn Hospitals,508.0,Private room,No smoking,30.0,2,2.0,Fort Myers
East Village~Organic Living,984.0,Entire home/apt,No children under 10 & No parties,2.0,2,5.0,Fort Myers
Simple and clean bedroom with good view and light,669.0,Private room,No children under 10,1.0,2,5.0,Miami
Cozy Two-bedroom Apt in a Cute House in Brooklyn!,99.0,Private room,No children under 10,4.0,1,4.0,Miami
"""HELLO BROOKLYN"" PARK SIDE VIEW NEWLY RENO APT.",789.0,Entire home/apt,No parties & No visitors,1.0,6,5.0,Miami
King Hotel Room at Wyndham Midtown 45 Resort,264.0,Private room,No pets & No smoking & No children under 10,2.0,2,3.0,Miami
Charming 1BD Astoria Penthouse,806.0,Entire home/apt,No smoking,2.0,8,5.0,Miami
Unbeatable & Massive Midtown 3 Bedroom Apt,905.0,Entire home/apt,No smoking,4.0,6,5.0,Miami
1 Bedroom Heart of Financial Dist,386.0,Private room,No visitors & No children under 10 & No smoking,2.0,2,4.0,Miami
Bushwick Duplex 1,283.0,Private room,No parties,1.0,2,5.0,Miami
Comfortable shared apartmant by Times Square,924.0,Shared room,No smoking & No children under 10,1.0,1,2.0,Miami
Modern furnished 2-Bedroom NYC Apartment!,647.0,Entire home/apt,No parties,30.0,3,1.0,Miami
Williamsburg bliss,1086.0,Entire home/apt,No visitors,3.0,3,4.0,Miami
Shared Apartment by Times Square Manhattan,1050.0,Shared room,No visitors & No pets & No smoking,1.0,1,4.0,Seattle
Large quiet private studio in East Harlem,181.0,Entire home/apt,No children under 10,7.0,2,3.0,Seattle
Nolita 1br near Little Italy/SoHo,380.0,Entire home/apt,No visitors & No pets,20.0,2,1.0,Seattle
private spacious LES bedroom,325.0,Private room,No parties & No pets,2.0,1,4.0,Seattle
"Peaceful, cozy studio in Chinatown",576.0,Entire home/apt,No pets & No children under 10 & No visitors,20.0,2,1.0,Seattle
Small Private Room in quiet Manhattan Apt,105.0,Private room,No visitors,4.0,1,5.0,Seattle
Cozy Room Amazingly Located in Williamsburg !,448.0,Private room,No smoking,3.0,2,4.0,Seattle
NYC HUB HOME: Train @ 900ft; midtown 30min!,1184.0,Entire home/apt,No parties & No pets,2.0,7,4.0,Seattle
New tidy  room attached by PRIVATE FULL BATH,73.0,Private room,No parties & No smoking,3.0,2,5.0,Seattle
Sun Drenched Artist Loft in Williamsburg!,607.0,Entire home/apt,No children under 10 & No visitors & No parties,4.0,2,5.0,Seattle
**Cozy Room In Hip Ultra Location LES/NOLITA**,537.0,Private room,No visitors,2.0,2,5.0,Seattle
Comfort Haven,910.0,Private room,No smoking & No visitors & No parties,1.0,2,3.0,Seattle
"Modern, Spacious Hideaway in Historic Brooklyn",386.0,Entire home/apt,No pets & No parties,6.0,2,3.0,Wenatchee
